,query_id,tag,confidence
0,INEX_LD-20120111,ENTITY/Fall_of_Saigon,1.0
1,INEX_LD-20120111,ENTITY/Vietnam_War,1.0
2,INEX_LD-20120112,ENTITY/Fact,1.0
3,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
4,INEX_LD-20120121,ENTITY/Vietnamese_cuisine,1.0
5,INEX_LD-20120121,ENTITY/Recipe,1.0
6,INEX_LD-20120122,ENTITY/Blog,1.0
7,INEX_LD-20120131,ENTITY/Vietnam,1.0
8,INEX_LD-20120131,ENTITY/National_park,1.0
9,INEX_LD-20120131,ENTITY/Travel,1.0
10,INEX_LD-20120132,ENTITY/Vietnam,1.0
11,INEX_LD-20120211,ENTITY/Musical_tuning,1.0
12,INEX_LD-20120211,ENTITY/Guitar_chord,1.0
13,INEX_LD-20120212,ENTITY/Minor_chord,1.0
14,INEX_LD-20120212,ENTITY/Guitar_chord,1.0
15,INEX_LD-20120221,ENTITY/Guitar,1.0
16,INEX_LD-20120221,ENTITY/Classical_music,1.0
17,INEX_LD-20120221,ENTITY/Flamenco,1.0
18,INEX_LD-20120222,ENTITY/Guitar,1.0
19,INEX_LD-20120222,ENTITY/Johann_Sebastian_Bach,1.0
20,INEX_LD-20120231,ENTITY/Guitar,1.0
21,INEX_LD-20120231,ENTITY/Russia,1.0
22,INEX_LD-20120232,ENTITY/Guitar,1.0
23,INEX_LD-20120232,ENTITY/Blues,1.0
24,INEX_LD-20120311,ENTITY/Film,1.0
25,INEX_LD-20120311,ENTITY/Culture,1.0
26,INEX_LD-20120311,ENTITY/Tango,1.0
27,INEX_LD-20120312,ENTITY/Tango,1.0
28,INEX_LD-20120312,ENTITY/Culture,1.0
29,INEX_LD-20120312,ENTITY/Country,1.0
30,INEX_LD-20120321,ENTITY/Tango_music,1.0
31,INEX_LD-20120321,ENTITY/Composer,1.0
32,INEX_LD-20120322,ENTITY/Tango_music,1.0
33,INEX_LD-20120322,ENTITY/Musical_instrument,1.0
34,INEX_LD-20120331,ENTITY/Tango,1.0
35,INEX_LD-20120331,ENTITY/Dance_music,1.0
36,INEX_LD-20120332,ENTITY/History,1.0
37,INEX_LD-20120332,ENTITY/Tango,1.0
38,INEX_LD-20120411,ENTITY/Bicycle,1.0
39,INEX_LD-20120412,ENTITY/Bicycle,1.0
40,INEX_LD-20120412,ENTITY/Sport,1.0
41,INEX_LD-20120421,ENTITY/Holiday,1.0
42,INEX_LD-20120421,ENTITY/Bicycle,1.0
43,INEX_LD-20120422,ENTITY/Nature,1.0
44,INEX_LD-20120422,ENTITY/Holiday,1.0
45,INEX_LD-20120422,ENTITY/Bicycle,1.0
46,INEX_LD-20120431,ENTITY/Health,1.0
47,INEX_LD-20120432,ENTITY/Bicycle,1.0
48,INEX_LD-20120432,ENTITY/Natural_environment,1.0
49,INEX_LD-20120511,ENTITY/Female,1.0
50,INEX_LD-20120512,ENTITY/South_Korea,1.0
51,INEX_LD-20120512,ENTITY/Girl_group,1.0
52,INEX_LD-20120521,ENTITY/Music_genre,1.0
53,INEX_LD-20120521,ENTITY/Electronic_music,1.0
54,INEX_LD-20120522,ENTITY/File_format,1.0
55,INEX_LD-20120522,ENTITY/Digital_data,1.0
56,INEX_LD-20120522,ENTITY/Musical_notation,1.0
57,INEX_LD-20120531,ENTITY/Music,1.0
58,INEX_LD-20120532,ENTITY/Intellectual_property,1.0
59,INEX_LD-20120532,ENTITY/Lobbying,1.0
60,INEX_LD-2009022,ENTITY/Food,1.0
61,INEX_LD-2009039,ENTITY/Ancient_Roman_architecture,1.0
62,INEX_LD-2009053,ENTITY/Manufacturing,1.0
63,INEX_LD-2009053,ENTITY/Finland,1.0
64,INEX_LD-2009053,ENTITY/Sisu,1.0
65,INEX_LD-2009061,ENTITY/France,1.0
66,INEX_LD-2009061,ENTITY/World_War_II,1.0
67,INEX_LD-2009061,ENTITY/Normandy,1.0
68,INEX_LD-2009062,ENTITY/Social_network,1.0
69,INEX_LD-2009063,ENTITY/Normandy,1.0
70,INEX_LD-2009074,ENTITY/Website,1.0
71,INEX_LD-2009074,ENTITY/Algorithm,1.0
72,INEX_LD-2009074,ENTITY/Ranking,1.0
73,INEX_LD-2009096,ENTITY/Eiffel_(programming_language),1.0
74,INEX_LD-2009111,ENTITY/Europe,1.0
75,INEX_LD-2009111,ENTITY/Solar_power,1.0
76,INEX_LD-2009115,ENTITY/Virtual_museum,1.0
77,INEX_LD-2010004,ENTITY/Food,1.0
78,INEX_LD-2010014,ENTITY/Composer,1.0
79,INEX_LD-2010014,ENTITY/Museum,1.0
80,INEX_LD-2010019,ENTITY/Gallo-Roman_culture,1.0
81,INEX_LD-2010019,ENTITY/Paris,1.0
82,INEX_LD-2010019,ENTITY/Architecture,1.0
83,INEX_LD-2010037,ENTITY/Social_network,1.0
84,INEX_LD-2010043,ENTITY/Surrealism,1.0
85,INEX_LD-2010043,ENTITY/Film,1.0
86,INEX_LD-2010043,ENTITY/Category_(mathematics),1.0
87,INEX_LD-2010043,ENTITY/Surrealist_cinema,1.0
88,INEX_LD-2010057,ENTITY/Theory_of_relativity,1.0
89,INEX_LD-2010057,ENTITY/Albert_Einstein,1.0
90,INEX_LD-2010069,ENTITY/Flower,1.0
91,INEX_LD-2010100,ENTITY/Wood,1.0
92,INEX_LD-2010106,ENTITY/Organic_food,1.0
93,INEX_LD-2012301,ENTITY/Niagara_Falls,1.0
94,INEX_LD-2012301,ENTITY/Lake,1.0
95,INEX_LD-2012303,ENTITY/Mycosis,1.0
