,query_id,tag,confidence
0,INEX_LD-20120111,ENTITY/Vietnam,1.0
1,INEX_LD-20120112,ENTITY/Vietnam,1.0
2,INEX_LD-20120121,ENTITY/Vietnam,1.0
3,INEX_LD-20120131,ENTITY/Vietnam,1.0
4,INEX_LD-20120132,ENTITY/Vietnam,1.0
5,INEX_LD-20120231,ENTITY/Russia,1.0
6,INEX_LD-20120512,ENTITY/South_Korea,1.0
7,INEX_LD-20120522,ENTITY/Digital_audio,1.0
8,INEX_LD-2009022,ENTITY/Sichuan,1.0
9,INEX_LD-2009053,ENTITY/Sisu_Auto,1.0
10,INEX_LD-2009053,ENTITY/Finland,1.0
11,INEX_LD-2009053,ENTITY/Saab_Automobile,1.0
12,INEX_LD-2009061,ENTITY/France,1.0
13,INEX_LD-2009096,ENTITY/Eiffel_Tower,1.0
14,INEX_LD-2009111,ENTITY/Europe,1.0
15,INEX_LD-2010019,ENTITY/Paris,1.0
16,INEX_LD-2010020,ENTITY/France,1.0
17,INEX_LD-2010057,ENTITY/Albert_Einstein,1.0
18,INEX_LD-2012301,ENTITY/Niagara_Falls,1.0
19,INEX_LD-2012301,"ENTITY/Niagara_Falls,_Ontario",1.0
20,INEX_LD-2012301,"ENTITY/Niagara_Falls,_New_York",1.0
21,INEX_LD-2012305,ENTITY/North_Dakota,1.0
22,INEX_LD-2012307,ENTITY/Millard_Fillmore,1.0
23,INEX_LD-2012307,ENTITY/Helen_Sworn,1.0
24,INEX_LD-2012309,ENTITY/Malay_Peninsula,1.0
25,INEX_LD-2012311,ENTITY/John_Lennon,1.0
26,INEX_LD-2012311,ENTITY/Yoko_Ono,1.0
27,INEX_LD-2012313,ENTITY/John_Turturro,1.0
28,INEX_LD-2012315,ENTITY/Baguio,1.0
29,INEX_LD-2012315,ENTITY/Quezon_City,1.0
30,INEX_LD-2012315,ENTITY/Manila,1.0
31,INEX_LD-2012317,ENTITY/Sons_and_Lovers,1.0
32,INEX_LD-2012318,ENTITY/Plan_9_from_Outer_Space,1.0
33,INEX_LD-2012319,ENTITY/Alice_Munro,1.0
34,INEX_LD-2012321,ENTITY/Stamford_Raffles,1.0
35,INEX_LD-2012323,ENTITY/Vatnajökull,1.0
36,INEX_LD-2012323,ENTITY/Langjökull,1.0
37,INEX_LD-2012323,ENTITY/Hofsjökull,1.0
38,INEX_LD-2012323,ENTITY/Island_country,1.0
39,INEX_LD-2012325,ENTITY/James_G._Blaine,1.0
40,INEX_LD-2012327,ENTITY/Nobel_Prize,1.0
41,INEX_LD-2012329,ENTITY/Iceland,1.0
42,INEX_LD-2012329,ENTITY/Sweden,1.0
43,INEX_LD-2012331,ENTITY/China,1.0
44,INEX_LD-2012331,ENTITY/Seoul,1.0
45,INEX_LD-2012331,ENTITY/Korea,1.0
46,INEX_LD-2012333,ENTITY/Canada,1.0
47,INEX_LD-2012333,ENTITY/Wilfrid_Laurier,1.0
48,INEX_LD-2012333,ENTITY/Prime_Minister_(rapper),1.0
49,INEX_LD-2012335,ENTITY/Japan,1.0
50,INEX_LD-2012336,ENTITY/Papua_Island,1.0
51,INEX_LD-2012337,ENTITY/Texas,1.0
52,INEX_LD-2012337,ENTITY/Baylor_University,1.0
