,query_id,tag,confidence
0,INEX_LD-2012355,ENTITY/England,1.0
1,INEX_LD-2012355,ENTITY/Football_player,1.0
2,INEX_LD-2012355,ENTITY/Payment,1.0
3,SemSearch_ES-80,ENTITY/Sonny_&_Cher,1.0
4,QALD2_te-35,ENTITY/Skype,1.0
5,SemSearch_ES-125,ENTITY/Nokia,1.0
6,QALD2_tr-36,ENTITY/Country,1.0
7,QALD2_tr-36,ENTITY/Yenisey,1.0
8,QALD2_te-97,ENTITY/The_Storm_on_the_Sea_of_Galilee,1.0
9,SemSearch_ES-22,ENTITY/Charlotte,_North_Carolina,1.0
10,SemSearch_LS-1,ENTITY/Apollo_(spacecraft),1.0
11,SemSearch_LS-1,ENTITY/Astronaut,1.0
12,SemSearch_LS-1,ENTITY/Moon,1.0
13,SemSearch_ES-13,ENTITY/Banana_paper,1.0
14,SemSearch_ES-13,ENTITY/Papermaking,1.0
15,SemSearch_ES-58,ENTITY/Mason,_Ohio,1.0
16,SemSearch_ES-114,ENTITY/Glenn_Frey,1.0
17,INEX_LD-20120421,ENTITY/Bicycle,1.0
18,INEX_LD-20120421,ENTITY/Vacation,1.0
19,INEX_LD-20120421,ENTITY/Town,1.0
20,SemSearch_ES-71,ENTITY/Richmond,_Virginia,1.0
21,INEX_LD-20120211,ENTITY/Guitar_chord,1.0
22,INEX_LD-20120211,ENTITY/Musical_tuning,1.0
23,INEX_XER-133,ENTITY/European_Union,1.0
24,INEX_XER-133,ENTITY/Country,1.0
25,QALD2_tr-65,ENTITY/Company,1.0
26,QALD2_tr-65,ENTITY/Aerospace_engineering,1.0
27,QALD2_tr-65,ENTITY/Nuclear_reactor,1.0
28,QALD2_te-9,ENTITY/Bandleader,1.0
29,QALD2_te-66,ENTITY/Ship,1.0
30,QALD2_te-66,ENTITY/Benjamin_Franklin,1.0
31,SemSearch_ES-98,ENTITY/University_of_Texas_at_Austin,1.0
32,SemSearch_LS-16,ENTITY/Hijackers_in_the_September_11_attacks,1.0
33,QALD2_te-57,ENTITY/Apollo_14,1.0
34,QALD2_te-57,ENTITY/Astronaut,1.0
35,QALD2_tr-54,ENTITY/Wife,1.0
36,QALD2_tr-54,ENTITY/President_of_the_United_States,1.0
37,QALD2_tr-54,ENTITY/Abraham_Lincoln,1.0
38,INEX_LD-2012337,ENTITY/Texas,1.0
39,INEX_LD-2012337,ENTITY/City,1.0
40,INEX_LD-2012337,ENTITY/Baylor_University,1.0
41,INEX_LD-2012337,ENTITY/Tornado,1.0
42,SemSearch_ES-40,ENTITY/James_Clayton,1.0
43,SemSearch_ES-40,ENTITY/Doctor_of_Medicine,1.0
44,SemSearch_LS-5,ENTITY/Book,1.0
45,SemSearch_LS-5,ENTITY/Judaism,1.0
46,SemSearch_LS-5,ENTITY/Biblical_canon,1.0
47,INEX_LD-2012389,ENTITY/Shark,1.0
48,INEX_LD-2012389,ENTITY/Gulf,1.0
49,INEX_LD-2012389,ENTITY/Indian_Ocean,1.0
50,SemSearch_ES-17,ENTITY/Butte,_Montana,1.0
51,INEX_LD-20120132,ENTITY/Vietnam,1.0
52,INEX_LD-20120132,ENTITY/Travel,1.0
53,INEX_LD-20120132,ENTITY/Airport,1.0
54,SemSearch_ES-4,ENTITY/NAACP_Image_Awards,1.0
55,SemSearch_ES-84,ENTITY/The_Dish_(TV_series),1.0
56,SemSearch_ES-84,ENTITY/Danielle_Fishel,1.0
57,INEX_LD-2012351,ENTITY/Indian_cuisine,1.0
58,INEX_LD-2012351,ENTITY/Dish_(food),1.0
59,INEX_LD-2012351,ENTITY/Rice,1.0
60,INEX_LD-2012351,ENTITY/Dal,1.0
61,INEX_LD-2012351,ENTITY/Vegetable,1.0
62,INEX_LD-2012351,ENTITY/Roti,1.0
63,INEX_LD-2012351,ENTITY/Papadam,1.0
64,SemSearch_LS-41,ENTITY/Companions_of_the_Prophet,1.0
65,QALD2_tr-32,ENTITY/Country,1.0
66,QALD2_tr-32,ENTITY/European_Union,1.0
67,QALD2_tr-32,ENTITY/Euro,1.0
68,QALD2_tr-79,ENTITY/Airport,1.0
69,QALD2_tr-79,ENTITY/California,1.0
70,QALD2_te-31,ENTITY/Methodism,1.0
71,QALD2_te-31,ENTITY/Head_of_state,1.0
72,QALD2_te-93,ENTITY/Film,1.0
73,QALD2_te-93,ENTITY/Sam_Raimi,1.0
74,QALD2_te-93,ENTITY/Army_of_Darkness,1.0
75,SemSearch_ES-26,ENTITY/Walt_Disney_World,1.0
76,QALD2_tr-9,ENTITY/U.S._state,1.0
77,QALD2_tr-9,ENTITY/Gold,1.0
78,INEX_LD-20120322,ENTITY/Tango_music,1.0
79,INEX_LD-20120322,ENTITY/Musical_instrument,1.0
80,INEX_LD-20120512,ENTITY/South_Korea,1.0
81,INEX_LD-20120512,ENTITY/Girl_group,1.0
82,QALD2_tr-50,ENTITY/Bruce_Carver,1.0
83,SemSearch_ES-108,ENTITY/Danielia_Cotton,1.0
84,QALD2_te-53,ENTITY/Political_party,1.0
85,QALD2_te-53,ENTITY/Lisbon,1.0
86,INEX_LD-2012333,ENTITY/Prime_Minister_of_Canada,1.0
87,INEX_LD-2012333,ENTITY/Term_of_office,1.0
88,INEX_XER-106,ENTITY/Nobility,1.0
89,INEX_XER-106,ENTITY/English_people,1.0
