,query_id,tag,confidence
0,INEX_LD-20120111,ENTITY/Vietnam_War_in_film,1.0
1,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
2,INEX_LD-20120112,ENTITY/Facts_on_the_ground,1.0
3,INEX_LD-20120121,ENTITY/Vietnamese_cuisine,1.0
4,INEX_LD-20120122,ENTITY/Vietnamese_cuisine,1.0
5,INEX_LD-20120131,ENTITY/Tourism_in_Vietnam,1.0
6,INEX_LD-20120132,ENTITY/List_of_Vietnam_Airlines_destinations,1.0
7,INEX_LD-20120211,ENTITY/Guitar_chord,1.0
8,INEX_LD-20120212,ENTITY/Guitar_chord,1.0
9,INEX_LD-20120221,ENTITY/Classical_guitar,1.0
10,INEX_LD-20120222,ENTITY/Johann_Sebastian_Bach,1.0
11,INEX_LD-20120231,ENTITY/Russia,1.0
12,INEX_LD-20120231,ENTITY/Guitar,1.0
13,INEX_LD-20120232,ENTITY/Guitar_Blues,1.0
14,INEX_LD-20120311,ENTITY/List_of_punk_films,1.0
15,INEX_LD-20120312,ENTITY/Culture_of_Argentina,1.0
16,INEX_LD-20120321,ENTITY/Tango_music,1.0
17,INEX_LD-20120322,ENTITY/Tango_music,1.0
18,INEX_LD-20120331,ENTITY/Tango,1.0
19,INEX_LD-20120331,ENTITY/Ballroom_tango,1.0
20,INEX_LD-20120332,ENTITY/History_of_the_tango,1.0
21,INEX_LD-20120411,ENTITY/Cycle_sport,1.0
22,INEX_LD-20120412,ENTITY/Cycle_sport,1.0
23,INEX_LD-20120421,ENTITY/Cycling_demonstration_towns,1.0
24,INEX_LD-20120422,ENTITY/Bicycle_touring,1.0
25,INEX_LD-20120431,ENTITY/Bikeway_safety,1.0
26,INEX_LD-20120432,ENTITY/Bicycle_poverty_reduction,1.0
27,INEX_LD-20120511,ENTITY/List_of_female_rock_singers,1.0
28,INEX_LD-20120512,ENTITY/List_of_South_Korean_girl_groups,1.0
29,INEX_LD-20120521,ENTITY/Electronic_music,1.0
30,INEX_LD-20120522,ENTITY/Digital_sheet_music,1.0
31,INEX_LD-20120522,ENTITY/File_format,1.0
32,INEX_LD-20120531,ENTITY/Music_festival,1.0
33,INEX_LD-20120532,ENTITY/Intellectual_rights,1.0
34,INEX_LD-2009022,ENTITY/Sichuan_cuisine,1.0
