,query_id,tag,confidence
0,INEX_LD-20120111,ENTITY/Vietnam_War,1.0
1,INEX_LD-20120111,ENTITY/War_film,1.0
2,INEX_LD-20120111,ENTITY/Vietnam,1.0
3,INEX_LD-20120111,ENTITY/Vietnam,1.0
4,INEX_LD-20120111,ENTITY/Fall_of_Saigon,1.0
5,INEX_LD-20120111,ENTITY/Vietnam_War,1.0
6,INEX_LD-20120111,ENTITY/Vietnam_War_in_film,1.0
7,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
8,INEX_LD-20120112,ENTITY/Fact,1.0
9,INEX_LD-20120112,ENTITY/Vietnam,1.0
10,INEX_LD-20120112,ENTITY/Vietnam,1.0
11,INEX_LD-20120112,ENTITY/Fact,1.0
12,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
13,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
14,INEX_LD-20120112,ENTITY/Facts_on_the_ground,1.0
15,INEX_LD-20120121,ENTITY/Vietnam,1.0
16,INEX_LD-20120121,ENTITY/Food,1.0
17,INEX_LD-20120121,ENTITY/Recipe,1.0
18,INEX_LD-20120121,ENTITY/Vietnam,1.0
19,INEX_LD-20120121,ENTITY/Vietnam,1.0
20,INEX_LD-20120121,ENTITY/Vietnamese_cuisine,1.0
21,INEX_LD-20120121,ENTITY/Recipe,1.0
22,INEX_LD-20120121,ENTITY/Vietnamese_cuisine,1.0
23,INEX_LD-20120122,ENTITY/Vietnamese_cuisine,1.0
24,INEX_LD-20120122,ENTITY/Glossary_of_blogging,1.0
25,INEX_LD-20120122,ENTITY/Blog,1.0
26,INEX_LD-20120122,ENTITY/Vietnam,1.0
27,INEX_LD-20120122,ENTITY/Blog,1.0
28,INEX_LD-20120122,ENTITY/Vietnamese_cuisine,1.0
29,INEX_LD-20120131,ENTITY/Vietnam,1.0
30,INEX_LD-20120131,ENTITY/Tourism,1.0
31,INEX_LD-20120131,ENTITY/National_park,1.0
32,INEX_LD-20120131,ENTITY/Vietnam,1.0
33,INEX_LD-20120131,ENTITY/National_park,1.0
34,INEX_LD-20120131,ENTITY/Vietnam,1.0
