,query_id,tag,confidence
0,INEX_LD-20120111,ENTITY/Vietnam,1.0
1,INEX_LD-20120111,ENTITY/Vietnam,1.0
2,INEX_LD-20120111,ENTITY/Vietnam_War,1.0
3,INEX_LD-20120111,ENTITY/War_film,1.0
4,INEX_LD-20120111,ENTITY/Fall_of_Saigon,1.0
5,INEX_LD-20120111,ENTITY/Vietnam_War,1.0
6,INEX_LD-20120112,ENTITY/Vietnam,1.0
7,INEX_LD-20120112,ENTITY/Vietnam,1.0
8,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
9,INEX_LD-20120112,ENTITY/Fact,1.0
10,INEX_LD-20120112,ENTITY/Fact,1.0
11,INEX_LD-20120112,ENTITY/Vietnam_War,1.0
12,INEX_LD-20120121,ENTITY/Vietnam,1.0
13,INEX_LD-20120121,ENTITY/Vietnam,1.0
14,INEX_LD-20120121,ENTITY/Vietnam,1.0
15,INEX_LD-20120121,ENTITY/Food,1.0
16,INEX_LD-20120121,ENTITY/Recipe,1.0
17,INEX_LD-20120121,ENTITY/Vietnamese_cuisine,1.0
18,INEX_LD-20120121,ENTITY/Recipe,1.0
19,INEX_LD-20120122,ENTITY/Vietnam,1.0
20,INEX_LD-20120122,ENTITY/Vietnamese_cuisine,1.0
21,INEX_LD-20120122,ENTITY/Glossary_of_blogging,1.0
22,INEX_LD-20120122,ENTITY/Blog,1.0
23,INEX_LD-20120122,ENTITY/Blog,1.0
24,INEX_LD-20120131,ENTITY/Vietnam,1.0
25,INEX_LD-20120131,ENTITY/National_park,1.0
26,INEX_LD-20120131,ENTITY/Vietnam,1.0
27,INEX_LD-20120131,ENTITY/Vietnam,1.0
28,INEX_LD-20120131,ENTITY/Tourism,1.0
29,INEX_LD-20120131,ENTITY/National_park,1.0
30,INEX_LD-20120131,ENTITY/Vietnam,1.0
31,INEX_LD-20120131,ENTITY/National_park,1.0
32,INEX_LD-20120131,ENTITY/Travel,1.0
33,INEX_LD-20120132,ENTITY/Vietnam,1.0
34,INEX_LD-20120132,ENTITY/Vietnam,1.0
35,INEX_LD-20120132,ENTITY/Vietnam,1.0
36,INEX_LD-20120132,ENTITY/Travel,1.0
37,INEX_LD-20120132,ENTITY/Airport,1.0
38,INEX_LD-20120132,ENTITY/Vietnam,1.0
39,INEX_LD-20120211,ENTITY/Guitar_chord,1.0
40,INEX_LD-20120211,ENTITY/Musical_tuning,1.0
41,INEX_LD-20120211,ENTITY/Musical_tuning,1.0
42,INEX_LD-20120211,ENTITY/Guitar_chord,1.0
43,INEX_LD-20120212,ENTITY/Guitar_chord,1.0
44,INEX_LD-20120212,ENTITY/Minor_scale,1.0
45,INEX_LD-20120212,ENTITY/Minor_chord,1.0
46,INEX_LD-20120212,ENTITY/Guitar_chord,1.0
47,INEX_LD-20120221,ENTITY/Guitar,1.0
48,INEX_LD-20120221,ENTITY/Classical_guitar,1.0
49,INEX_LD-20120221,ENTITY/Flamenco,1.0
50,INEX_LD-20120221,ENTITY/Guitar,1.0
51,INEX_LD-20120221,ENTITY/Classical_music,1.0
52,INEX_LD-20120221,ENTITY/Flamenco,1.0
53,INEX_LD-20120222,ENTITY/Guitar,1.0
54,INEX_LD-20120222,ENTITY/Classical_music,1.0
55,INEX_LD-20120222,ENTITY/Johann_Sebastian_Bach,1.0
56,INEX_LD-20120222,ENTITY/Guitar,1.0
57,INEX_LD-20120222,ENTITY/Johann_Sebastian_Bach,1.0
58,INEX_LD-20120231,ENTITY/Russia,1.0
59,INEX_LD-20120231,ENTITY/Russia,1.0
60,INEX_LD-20120231,ENTITY/Guitar,1.0
61,INEX_LD-20120231,ENTITY/Origin_(band),1.0
62,INEX_LD-20120231,ENTITY/Russia,1.0
63,INEX_LD-20120231,ENTITY/Guitar,1.0
64,INEX_LD-20120231,ENTITY/Russia,1.0
65,INEX_LD-20120232,ENTITY/Guitar,1.0
66,INEX_LD-20120232,ENTITY/Origin_Records,1.0
67,INEX_LD-20120232,ENTITY/Blues,1.0
68,INEX_LD-20120232,ENTITY/Guitar,1.0
69,INEX_LD-20120232,ENTITY/Blues,1.0
70,INEX_LD-20120311,ENTITY/Tango,1.0
71,INEX_LD-20120311,ENTITY/Culture,1.0
72,INEX_LD-20120311,ENTITY/Film,1.0
73,INEX_LD-20120311,ENTITY/Film,1.0
74,INEX_LD-20120311,ENTITY/Culture,1.0
75,INEX_LD-20120311,ENTITY/Tango,1.0
76,INEX_LD-20120312,ENTITY/Tango_music,1.0
77,INEX_LD-20120312,ENTITY/Culture,1.0
78,INEX_LD-20120312,ENTITY/Nation,1.0
79,INEX_LD-20120312,ENTITY/Tango,1.0
80,INEX_LD-20120312,ENTITY/Culture,1.0
81,INEX_LD-20120312,ENTITY/Country,1.0
82,INEX_LD-20120321,ENTITY/Tango_music,1.0
83,INEX_LD-20120321,ENTITY/Tango_music,1.0
84,INEX_LD-20120321,ENTITY/Music_of_Bengal,1.0
85,INEX_LD-20120321,ENTITY/Tango_music,1.0
86,INEX_LD-20120321,ENTITY/Composer,1.0
87,INEX_LD-20120322,ENTITY/Tango_music,1.0
88,INEX_LD-20120322,ENTITY/Tango_music,1.0
89,INEX_LD-20120322,ENTITY/Musical_instrument,1.0
90,INEX_LD-20120322,ENTITY/Tango_music,1.0
91,INEX_LD-20120322,ENTITY/Musical_instrument,1.0
92,INEX_LD-20120331,ENTITY/Tango,1.0
93,INEX_LD-20120331,ENTITY/Tango,1.0
94,INEX_LD-20120331,ENTITY/Music_genre,1.0
95,INEX_LD-20120331,ENTITY/Tango,1.0
96,INEX_LD-20120331,ENTITY/Dance_music,1.0
97,INEX_LD-20120332,ENTITY/Argentine_tango,1.0
98,INEX_LD-20120332,ENTITY/Tango,1.0
99,INEX_LD-20120332,ENTITY/Tango,1.0
100,INEX_LD-20120332,ENTITY/History_of_dance,1.0
